fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20220930 070620	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155	TRUE	763381	0.0491384506138774	0.369890022210473	6263	370	7344	24840000	42
20220930 070636	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	56	TRUE	763381	0.154669207579956	0.97409974387815	2184	393	6766	24230000	43
20220930 070736	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	150	TRUE	763381	0.085492863137474	0.733570558263484	246	419	7595	24490000	44
20220930 123952	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	396	TRUE	763381	0.0328958440263666	0.319938716120208	7978	2	10717	23050000	45
20220930 124022	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	167	TRUE	763381	0.0859014109231629	0.781734628503081	6888	501	7047	24630000	46
20220930 124256	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1016	TRUE	763381	0.00785088900815676	0.753998220235747	4743	59	9932	24380000	47
20220930 124322	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	143	TRUE	763381	0.0657048230264366	0.47436419768921	6002	2	8331	22380000	48
20220930 124345	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	137	TRUE	763381	0.178583479238136	0.34585173682717	7972	808	7058	24530000	49
20220930 124400	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	46	TRUE	763381	0.182495857223237	0.253061922304131	2206	80	10160	23920000	50
20220930 124417	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.107463205645754	0.820017050734329	4500	824	6823	24440000	51
20220930 124429	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	47	TRUE	763381	0.173148847234331	0.966032509775571	7999	556	7569	25110000	52
20220930 124440	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	38	TRUE	763381	0.237451913115822	0.974847907439424	7998	981	7649	24230000	53
20220930 124453	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	54	TRUE	763381	0.15773220313656	0.91545594474494	7995	454	7437	24090000	54
20220930 124511	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	111	TRUE	763381	0.163887888493184	0.800443639291539	4200	555	7601	2.4e+07	55
20220930 125836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	7767	TRUE	763381	0.00126910392645181	0.861588660597465	7951	205	10279	24090000	56
20220930 125934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	566	TRUE	763381	0.0683170061071751	0.0285771560895359	5663	806	6940	23160000	57
20220930 125949	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	48	TRUE	763381	0.183157337310501	0.343707322418854	7498	598	7505	24350000	58
20220930 130015	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	763381	0.0981189139448419	0.968800142461519	7874	167	6833	24500000	59
20220930 130045	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	242	TRUE	763381	0.0871330080558968	0.72225383816116	7859	338	6157	24170000	60
20220930 130058	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	55	TRUE	763381	0.185453109784508	0.99991354387966	7508	786	7452	24540000	61
20220930 130134	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	183	TRUE	763381	0.076584237400595	0.547901598174057	7324	519	6869	24510000	62
20220930 130145	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	30	TRUE	763381	0.177234709621729	0.99950567839774	5993	304	7607	24150000	63
20220930 130229	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	361	TRUE	763381	0.0445407773377192	0.980425395074056	7934	751	7556	24970000	64
20220930 130356	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	759	TRUE	763381	0.0221891986001986	0.958003215215528	7587	842	7114	24740000	65
20220930 130418	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	763381	0.29784281269633	0.940041565911216	1276	744	7101	23560000	66
