fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	coverage	leaf_size_log	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221116 080614	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	360	1	1	1	0.1	50	0.5	FALSE	763369	0.188640133517916	0.797066734782779	0.871102987619812	4.80061866808003	0.021223508795537	17996	45448000	42
20221116 081939	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	411	1	1	1	0.1	50	0.5	FALSE	763369	0.13605428939346	0.229892607176863	0.290350013201893	5.28775312666898	0.0218987353141665	17765	44630000	43
20221116 083209	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	169	1	1	1	0.1	50	0.5	FALSE	763369	0.173637857063529	0.355816939936997	0.898881698089745	7.90266585776978	0.016875104470206	18956	43048000	44
20221116 084240	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	916	1	1	1	0.1	50	0.5	FALSE	763369	0.261133781581568	0.615942653173162	0.309976692602131	2.9163083223498	0.0211698120787352	17174	42052000	45
20221116 085757	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	263	1	1	1	0.1	50	0.5	FALSE	763369	0.215542903716411	0.55403579469258	0.158041142349446	8.47858347508078	0.0204713278013221	17256	43728000	46
20221116 095302	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1967	1	1	1	0.1	50	0.5	FALSE	763369	0.105915957483926	0.487857086673798	0.139134090770537	3.59431734564924	0.0169231942097732	20224	39712000	47
20221116 104228	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	705	1	1	1	0.1	50	0.5	FALSE	763369	0.0344634015917708	0.684404517298006	0.896887398874492	11.6702943151088	0.000758950639875239	16354	44492000	48
20221116 105535	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	882	1	1	1	0.1	50	0.5	FALSE	763369	0.228382311844563	0.619336532340804	0.472312023286207	2.9876446803913	0.0207812080422728	18608	43104000	49
20221116 120050	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1050	1	1	1	0.1	50	0.5	FALSE	763369	0.0422508539879485	0.552761185708223	0.772093228624121	11.2024258921181	0.00029192937660637	14039	46082000	50
20221116 122212	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	717	1	1	1	0.1	50	0.5	FALSE	763369	0.0616764186151093	0.268171697328705	0.830705724388419	2.88450874061719	0.0223519555683518	17195	43530000	51
20221116 123848	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	642	1	1	1	0.1	50	0.5	FALSE	763369	0.207000264089652	0.20923147052275	0.118427144088876	5.43649023787957	0.0217228813822924	17562	43996000	52
20221116 142255	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2095	1	1	1	0.1	50	0.5	FALSE	763369	0.0168689462624234	0.593185147103109	0.47625914849753	10.9671144015668	0.001693741778637	18061	44678000	53
20221116 143727	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	523	1	1	1	0.1	50	0.5	FALSE	763369	0.227950524461004	0.66952611456993	0.184697377993586	9.6610572688987	0.00584008643864796	16765	41830000	54
20221116 150544	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	820	1	1	1	0.1	50	0.5	FALSE	763369	0.230355004186935	0.475450490501244	0.897944732050528	2.53107959274715	0.0260364442303731	15781	44518000	55
20221116 160510	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1666	1	1	1	0.1	50	0.5	FALSE	763369	0.0630405953907827	0.289598928639619	0.882895462686836	9.14955881430674	0.00104042145484868	16288	45184000	56
20221116 163916	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1471	1	1	1	0.1	50	0.5	FALSE	763369	0.229330373214681	0.273394122695643	0.297163333368569	2.08641963961651	0.0163737859149529	19372	39256000	57
20221116 170327	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	710	1	1	1	0.1	50	0.5	FALSE	763369	0.294738513568274	0.560448597197002	0.357605867454642	1.26178163259081	0.0167917999832626	16007	38786000	58
20221116 171345	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	350	1	1	1	0.1	50	0.5	FALSE	763369	0.17183497897113	0.765031299583961	0.919594577253583	4.40033196867742	0.0178372556885546	20232	43536000	59
20221116 173253	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2120	1	1	1	0.1	50	0.5	FALSE	763369	0.21289569675443	0.667593334260024	0.67859338731725	1.80844629248162	0.0186114406604466	15966	42228000	60
20221116 190649	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	4008	1	1	1	0.1	50	0.5	FALSE	763369	0.0319412438386143	0.335785240288079	0.321236841940368	2.06732321555587	0.0154876839002891	19444	39272000	61
20221116 192003	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1368	1	1	1	0.1	50	0.5	FALSE	763369	0.127721159090286	0.751063331983099	0.239592951512022	2.42877268848964	0.0199068291743102	17555	41130000	62
20221116 195452	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1165	1	1	1	0.1	50	0.5	FALSE	763369	0.281597839924337	0.495559551793849	0.453305765777896	1.9516651490212	0.0148899957576053	19455	39010000	63
20221116 200333	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	192	1	1	1	0.1	50	0.5	FALSE	763369	0.258110133170781	0.622079651695956	0.701117130807543	5.33923603940848	0.024618470673485	16017	46606000	64
20221116 201414	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	157	1	1	1	0.1	50	0.5	FALSE	763369	0.0913496542124217	0.247369523397554	0.527051433031843	7.59804250238161	0.0196349434021662	17825	45230000	65
20221116 202524	431	4061674	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	132	1	1	1	0.1	50	0.5	FALSE	763369	0.250252089265969	0.591598410642706	0.677594255382835	6.58154360853578	0.0214300358586176	16798	45284000	66
