fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion				
20220925 013721	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	218	TRUE	763381	0.036164519	0.409224689	6945	1016	6804	25520000	5				
20220925 023118	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1359	TRUE	763381	0.005159256	0.201438301	7576	200	9083	25520000	31				
20220925 041330	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	729	TRUE	763381	0.005225136	0.933809127	7993	16	10647	25510000	58				
20220925 055201	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1174	TRUE	763381	0.005589371	0.200542806	7128	993	7890	25500000	97				
20220925 032612	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	159	TRUE	763381	0.092115096	0.243565558	8000	1024	8896	25490000	45				
20220925 060623	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	308	TRUE	763381	0.009665171	0.711818537	6063	492	11031	25460000	106				
20220925 063823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	653	TRUE	763381	0.007108023	0.393611932	7998	495	9953	25460000	119				
20220925 051931	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	66	TRUE	763381	0.295807472	0.278963293	8000	20	8293	25260000	84				
20220925 014341	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.252832964	0.311246238	6526	921	9735	25250000	18				
20220925 013911	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	85	TRUE	763381	0.098481508	0.221985867	2290	843	9380	25240000	10				
20220925 062811	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1811	TRUE	763381	0.005885525	0.759921415	2053	17	12229	25230000	115				
20220925 054831	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	34	TRUE	763381	0.255736234	0.698673374	1692	1024	10674	25220000	96				
20220925 055603	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	705	TRUE	763381	0.006241642	0.997476839	1870	79	5915	25210000	100				
20220925 013553	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	763381	0.165183255	0.887707367	3871	793	10567	25190000	2				
20220925 054019	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	29	TRUE	763381	0.297046011	0.999934015	6622	51	10803	25120000	92				
20220925 055220	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	61	TRUE	763381	0.280746568	0.97942253	4434	20	8692	25100000	98				
20220925 013608	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	50	TRUE	763381	0.174066589	0.625356234	2791	185	11346	25070000	3				
20220925 052250	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1176	TRUE	763381	0.005212176	0.999997086	7956	772	6305	25070000	85				
20220925 035336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	243	TRUE	763381	0.005001881	0.774735842	1	1024	8190	24980000	51				
20220925 055614	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	19	TRUE	763381	0.152716754	0.999522852	7999	960	10548	24910000	101				
20220925 013626	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	51	TRUE	763381	0.145209592	0.441683462	4283	651	7937	24850000	4				
20220925 013836	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	147	TRUE	763381	0.05871248	0.268832764	4899	473	6155	24810000	8				
20220925 052534	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	560	TRUE	763381	0.005042099	0.711475709	4946	951	12083	24800000	86				
20220925 061040	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	27	TRUE	763381	0.299535094	0.748410566	7582	432	8575	24690000	108				
20220925 064410	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	2619	TRUE	763381	0.006341425	0.200545846	2030	19	13896	24530000	120				
20220925 063119	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	693	TRUE	763381	0.006150594	0.994817963	5765	1024	5879	24490000	117				
20220925 054008	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	84	TRUE	763381	0.278995307	0.200059633	7998	60	11210	24460000	91				
20220925 014434	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	200	TRUE	763381	0.034481527	0.710915173	1501	698	13259	24450000	19				
20220925 060501	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1291	TRUE	763381	0.005555145	0.356264366	7989	18	12799	24410000	105				
20220925 013536	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	123	TRUE	763381	0.088140245	0.656846224	4506	594	5622	24360000	1				
