fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	envios	bagging_fraction	bagging_freq	lambda_l1	lambda_l2	min_gain_to_split	max_depth 	ganancia	iteracion
20220929 023044	binary	custom	TRUE	TRUE	FALSE	-100	31	37	TRUE	763381	0.194583445	0.22835918	6490	380	10987	0.835891396	243	97.31796348	41.95708115	3.664474658	14	20670000	15
20220929 023642	binary	custom	TRUE	TRUE	FALSE	-100	31	12	TRUE	763381	0.280056372	0.947627301	1370	1013	14000	0.84954557	924	56.70362042	77.76642864	12.34060009	19	20640000	32
20220929 023926	binary	custom	TRUE	TRUE	FALSE	-100	31	7	TRUE	763381	0.201863522	0.772487168	6339	222	6886	0.757110033	697	71.96001771	58.89618685	9.295376753	24	20630000	44
20220929 022738	binary	custom	TRUE	TRUE	FALSE	-100	31	18	TRUE	763381	0.146301697	0.500563015	5395	455	5921	0.672474683	396	63.54655777	45.96813449	11.14843589	17	20480000	1
20220929 023629	binary	custom	TRUE	TRUE	FALSE	-100	31	14	TRUE	763381	0.099710984	0.306200095	1141	68	7445	0.1876621	209	70.18583857	59.62307341	1.561770327	13	20470000	30
20220929 023514	binary	custom	TRUE	TRUE	FALSE	-100	31	20	TRUE	763381	0.185415723	0.335795612	2718	333	13772	0.548976699	377	22.71494203	90.97514598	13.05495455	24	20380000	24
20220929 023937	binary	custom	TRUE	TRUE	FALSE	-100	31	9	TRUE	763381	0.235526592	0.707461377	269	920	12570	0.200987837	29	24.49153053	21.85390889	13.93604699	21	20380000	45
20220929 035638	binary	custom	TRUE	TRUE	FALSE	-100	31	13	TRUE	763381	0.295976771	0.320555023	204	88	10552	0.240838783	288	25.5810681	13.52514648	4.725012191	9	19860000	126
20220929 023110	binary	custom	TRUE	TRUE	FALSE	-100	31	21	TRUE	763381	0.164084047	0.396267616	5067	836	11921	0.269866527	811	83.68114513	81.34272059	6.041594804	25	19840000	19
20220929 023539	binary	custom	TRUE	TRUE	FALSE	-100	31	35	TRUE	763381	0.032125223	0.687592724	6714	147	5004	0.359686175	559	57.85922323	28.72203161	8.450261981	1	19840000	26
20220929 023609	binary	custom	TRUE	TRUE	FALSE	-100	31	15	TRUE	763381	0.143375522	0.8794662	2361	174	14367	0.417201186	451	99.12210627	9.603820674	7.486855753	28	19670000	28
20220929 023913	binary	custom	TRUE	TRUE	FALSE	-100	31	8	TRUE	763381	0.295596979	0.402168355	5547	971	13300	0.314843324	75	86.42954175	29.69907171	14.8842283	11	19640000	42
20220929 023034	binary	custom	TRUE	TRUE	FALSE	-100	31	22	TRUE	763381	0.18743124	0.350097913	6858	123	13080	0.278522608	907	64.93357751	19.72953064	4.267469218	29	19520000	14
20220929 023103	binary	custom	TRUE	TRUE	FALSE	-100	31	12	TRUE	763381	0.211077798	0.450013713	3033	937	5258	0.155051927	178	42.37123858	25.18441881	12.67305569	7	18370000	18
